"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Dec 02 05:19:16 GMT 2024","Mon Dec 02 05:19:16 GMT 2024","0","tests","test_users","TestUsersAPI","","","Test delete user","Verify deleting a single user by UUID"
"broken","Mon Dec 02 05:19:18 GMT 2024","Mon Dec 02 05:19:18 GMT 2024","0","tests","test_users","TestUsersAPI","","","Test create user","Verify user creation and data validation"
"passed","Mon Dec 02 05:19:23 GMT 2024","Mon Dec 02 05:19:24 GMT 2024","1170","tests","test_wishlist","","","","Test adding a game to the wishlist","Verify adding a game to the user's wishlist"
"broken","Mon Dec 02 05:19:16 GMT 2024","Mon Dec 02 05:19:16 GMT 2024","195","tests","test_users","TestUsersAPI","","","Test delete user","Verify deleting a single user by UUID"
"broken","Mon Dec 02 05:19:21 GMT 2024","Mon Dec 02 05:19:21 GMT 2024","0","tests","test_users","TestUsersAPI","","","Test update user","Verify updating an existing user by UUID"
"broken","Mon Dec 02 05:19:25 GMT 2024","Mon Dec 02 05:19:25 GMT 2024","0","tests","test_wishlist","","","","Test adding a game to the wishlist","Verify adding a game to the user's wishlist"
"passed","Mon Dec 02 05:19:18 GMT 2024","Mon Dec 02 05:19:19 GMT 2024","388","tests","test_users","TestUsersAPI","","","Test update user","Verify updating an existing user by UUID"
"broken","Mon Dec 02 05:19:21 GMT 2024","Mon Dec 02 05:19:21 GMT 2024","0","tests","test_users","TestUsersAPI","","","Test update user","Verify updating an existing user by UUID"
"broken","Mon Dec 02 05:19:25 GMT 2024","Mon Dec 02 05:19:25 GMT 2024","0","tests","test_wishlist","","","","Test adding a game to the wishlist","Verify adding a game to the user's wishlist"
"failed","Mon Dec 02 05:19:12 GMT 2024","Mon Dec 02 05:19:12 GMT 2024","372","tests","test_users","TestUsersAPI","","","Test get users list","Verify retrieving users list with different task IDs"
"broken","Mon Dec 02 05:19:15 GMT 2024","Mon Dec 02 05:19:15 GMT 2024","0","tests","test_users","TestUsersAPI","","","Test get single user details","Verify retrieving details for a specific user"
"broken","Mon Dec 02 05:19:22 GMT 2024","Mon Dec 02 05:19:22 GMT 2024","191","tests","test_wishlist","","","","Test adding a game to the wishlist","Verify adding a game to the user's wishlist"
"failed","Mon Dec 02 05:19:10 GMT 2024","Mon Dec 02 05:19:12 GMT 2024","1454","tests","test_games","TestGamesAPI","","","Test search games with specific title","Verify retrieving games with the same title (case-insensitive)"
"passed","Mon Dec 02 05:19:20 GMT 2024","Mon Dec 02 05:19:20 GMT 2024","423","tests","test_users","TestUsersAPI","","","Test update user","Verify updating an existing user by UUID"
"broken","Mon Dec 02 05:19:12 GMT 2024","Mon Dec 02 05:19:12 GMT 2024","309","tests","test_games","TestGamesAPI","","","Test getting a specific game by UUID","Verify retrieving game details by its UUID"
"failed","Mon Dec 02 05:19:17 GMT 2024","Mon Dec 02 05:19:17 GMT 2024","0","tests","test_users","TestUsersAPI","","","Test create user","Verify user creation and data validation"
"failed","Mon Dec 02 05:19:14 GMT 2024","Mon Dec 02 05:19:14 GMT 2024","269","tests","test_users","TestUsersAPI","","","Test get single user details","Verify retrieving details for a specific user"
"failed","Mon Dec 02 05:19:12 GMT 2024","Mon Dec 02 05:19:13 GMT 2024","1073","tests","test_users","TestUsersAPI","","","Test get users list","Verify retrieving users list with different task IDs"
